filename	trial_type	topic_obj	topic_col	topic_loc	backgr_obj	backgr_col	backgr_loc	words	Gen_1	Gen_2	Gen_3	Gen_4	Gen_5	condition	chain
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb pu	meeb pu	meeb pu	meeb pu	mong pu	control	6
05.png	sin	cup	yellow	cent	no	no	no	fop	fop	li	li	li	li	control	6
05d.png	sin	cup	yellow	cent	no	no	no	fop	fop	li	li	li	li	control	6
06.png	sin	cup	blue	cent	no	no	no	fop	fop	pu	pu	pu	pu	control	6
06d.png	sin	cup	blue	cent	no	no	no	fop	fop	pu	pu	pu	pu	control	6
07-2.png	rel	cup	yellow	left	pen	blue	right	fop li	fop li	li	li	li	li	control	6
07.png	rel	cup	yellow	right	pen	blue	left	fop li	fop li	li	li	li	li	control	6
08-2.png	rel	cup	blue	left	pen	yellow	right	fop pu	fop pu	pu	pu	pu	pu	control	6
08.png	rel	cup	blue	right	pen	yellow	left	fop pu	fop pu	pu	pu	pu	pu	control	6
09.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur li	kur li	kur li	kur li	control	6
09d.png	sin	ball	yellow	cent	no	no	no	kur	kur	kur li	kur li	kur li	kur li	control	6
10.png	sin	ball	blue	cent	no	no	no	kur	kur	kur pu	kur pu	kur pu	kur pu	control	6
10d.png	sin	ball	blue	cent	no	no	no	kur	kur	kur pu	kur pu	kur pu	kur pu	control	6
11-2.png	rel	ball	yellow	left	pen	blue	right	kur li	kur li	kur li	kur li	kur li	kur li	control	6
11.png	rel	ball	yellow	right	pen	blue	left	kur li	kur li	kur li	kur li	kur li	kur li	control	6
12-2.png	rel	ball	blue	right	pen	yellow	left	kur pu	kur pu	kur pu	kur pu	kur pu	kur pu	control	6
12.png	rel	ball	blue	left	pen	yellow	right	kur pu	kur pu	kur pu	kur pu	kur pu	kur pu	control	6
13.png	sin	book	yellow	cent	no	no	no	yan	yan	yan li	yang li	yang li	li	control	6
13d.png	sin	book	yellow	cent	no	no	no	yan	yan	yan li	yang pu	yang li	yang li	control	6
14.png	sin	book	blue	cent	no	no	no	yan	yan	yan pu	yam pu	yang pu	yang pu	control	6
14d.png	sin	book	blue	cent	no	no	no	yan	yan	yan pu	yan pu	yang pu	pu	control	6
15-2.png	rel	book	yellow	left	pen	blue	right	yan li	yan li	yan li	yang li	yang li	mong li	control	6
15.png	rel	book	yellow	right	pen	blue	left	yan li	yan li	yan li	yang pu	yang li	yang li	control	6
16-2.png	rel	book	blue	right	pen	yellow	left	yan pu	yan pu	yan pu	yan pu	yang pu	yang pu	control	6
16.png	rel	book	blue	left	pen	yellow	right	yan pu	yan pu	yan pu	yan pu	yang pu	pu	control	6
01.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	no	nope	no	no	control	7
01d.png	sin	pen	yellow	cent	no	no	no	meeb	meeb	no	no	no	no	control	7
02.png	sin	pen	blue	cent	no	no	no	meeb	meeb	no	kur	no	no	control	7
02d.png	sin	pen	blue	cent	no	no	no	meeb	meeb	meedam	no	no	kur	control	7
03-2.png	rel	pen	yellow	left	pen	blue	right	meeb li	yan li	meedam	no	no	no	control	7
03.png	rel	pen	yellow	right	pen	blue	left	meeb li	meeb li	sorry :)	no	no	no	control	7
04-2.png	rel	pen	blue	right	pen	yellow	left	meeb pu	meeb pu	meelab	no	nope	no	control	7
04.png	rel	pen	blue	left	pen	yellow	right	meeb pu	meeb pu	i give up	nope	no	no	control	7
05.png	sin	cup	yellow	cent	no	no	no	fop	fop	nope	fur	no	no	control	7
